problem_id,recomputed,conditions_checked,endpoints_checked,notation_checked,review_note
"W02-01","yes","yes","yes","yes","独立复算 三角函数高阶消去极限：检查定义域、关键定理条件、边界与符号。"
"W02-02","yes","yes","yes","yes","独立复算 由有限极限反求参数：检查定义域、关键定理条件、边界与符号。"
"W02-03","yes","yes","yes","yes","独立复算 递推数列单调有界法：检查定义域、关键定理条件、边界与符号。"
"W02-04","yes","yes","yes","yes","独立复算 Stolz 处理加权和式：检查定义域、关键定理条件、边界与符号。"
"W02-05","yes","yes","yes","yes","独立复算 连续性与零点个数：检查定义域、关键定理条件、边界与符号。"
"W03-01","yes","yes","yes","yes","独立复算 Cauchy 中值定理比较增长率：检查定义域、关键定理条件、边界与符号。"
"W03-02","yes","yes","yes","yes","独立复算 辅助函数证明不等式：检查定义域、关键定理条件、边界与符号。"
"W03-03","yes","yes","yes","yes","独立复算 参数方程的曲率：检查定义域、关键定理条件、边界与符号。"
"W03-04","yes","yes","yes","yes","独立复算 含参数函数的极值分类：检查定义域、关键定理条件、边界与符号。"
"W03-05","yes","yes","yes","yes","独立复算 Taylor 余项估计：检查定义域、关键定理条件、边界与符号。"
"W03-06","yes","yes","yes","yes","独立复算 全局最值的边界比较：检查定义域、关键定理条件、边界与符号。"
"W04-01","yes","yes","yes","yes","独立复算 参数积分的换序入口：检查定义域、关键定理条件、边界与符号。"
"W04-02","yes","yes","yes","yes","独立复算 含根式积分的三角换元：检查定义域、关键定理条件、边界与符号。"
"W04-03","yes","yes","yes","yes","独立复算 广义积分的端点判别：检查定义域、关键定理条件、边界与符号。"
"W04-04","yes","yes","yes","yes","独立复算 积分不等式的平均值视角：检查定义域、关键定理条件、边界与符号。"
"W04-05","yes","yes","yes","yes","独立复算 交换积分次序：检查定义域、关键定理条件、边界与符号。"
"W04-06","yes","yes","yes","yes","独立复算 旋转体体积的两种切法：检查定义域、关键定理条件、边界与符号。"
"W04-07","yes","yes","yes","yes","独立复算 分部积分与递推：检查定义域、关键定理条件、边界与符号。"
"W05-01","yes","yes","yes","yes","独立复算 点到平面的距离与投影：检查定义域、关键定理条件、边界与符号。"
"W05-02","yes","yes","yes","yes","独立复算 两平面交线：检查定义域、关键定理条件、边界与符号。"
"W05-03","yes","yes","yes","yes","独立复算 一阶线性微分方程：检查定义域、关键定理条件、边界与符号。"
"W05-04","yes","yes","yes","yes","独立复算 二阶非齐次方程：检查定义域、关键定理条件、边界与符号。"
"W06-01","yes","yes","yes","yes","独立复算 切平面与法线：检查定义域、关键定理条件、边界与符号。"
"W06-02","yes","yes","yes","yes","独立复算 二元函数的驻点分类：检查定义域、关键定理条件、边界与符号。"
"W06-03","yes","yes","yes","yes","独立复算 约束下的最值：检查定义域、关键定理条件、边界与符号。"
"W06-04","yes","yes","yes","yes","独立复算 隐函数二阶导数：检查定义域、关键定理条件、边界与符号。"
"W07-01","yes","yes","yes","yes","独立复算 极坐标换元：检查定义域、关键定理条件、边界与符号。"
"W07-02","yes","yes","yes","yes","独立复算 三重积分的柱坐标：检查定义域、关键定理条件、边界与符号。"
"W07-03","yes","yes","yes","yes","独立复算 Green 公式计算环流：检查定义域、关键定理条件、边界与符号。"
"W07-04","yes","yes","yes","yes","独立复算 Gauss 公式求通量：检查定义域、关键定理条件、边界与符号。"
"W07-05","yes","yes","yes","yes","独立复算 路径无关与势函数：检查定义域、关键定理条件、边界与符号。"
"W07-06","yes","yes","yes","yes","独立复算 Stokes 公式与方向：检查定义域、关键定理条件、边界与符号。"
"W08-01","yes","yes","yes","yes","独立复算 比值判别与端点：检查定义域、关键定理条件、边界与符号。"
"W08-02","yes","yes","yes","yes","独立复算 幂级数求和：检查定义域、关键定理条件、边界与符号。"
"W08-03","yes","yes","yes","yes","独立复算 Taylor 展开与余项：检查定义域、关键定理条件、边界与符号。"
"W08-04","yes","yes","yes","yes","独立复算 半区间正弦展开：检查定义域、关键定理条件、边界与符号。"
"W09-01","yes","yes","yes","yes","独立复算 参数极限与积分表示：检查定义域、关键定理条件、边界与符号。"
"W09-02","yes","yes","yes","yes","独立复算 微分约束下的积分不等式：检查定义域、关键定理条件、边界与符号。"
"W09-03","yes","yes","yes","yes","独立复算 含参积分与函数性质：检查定义域、关键定理条件、边界与符号。"
"W09-04","yes","yes","yes","yes","独立复算 微分方程与积分互化：检查定义域、关键定理条件、边界与符号。"
"W09-05","yes","yes","yes","yes","独立复算 空间几何与多元微分联立：检查定义域、关键定理条件、边界与符号。"
"W09-06","yes","yes","yes","yes","独立复算 多元最值的边界比较：检查定义域、关键定理条件、边界与符号。"
"W09-07","yes","yes","yes","yes","独立复算 重积分与场论综合：检查定义域、关键定理条件、边界与符号。"
"W09-08","yes","yes","yes","yes","独立复算 幂级数与 Fourier 连接：检查定义域、关键定理条件、边界与符号。"
"W10-01","yes","yes","yes","yes","独立复算 辅助函数证明存在性：检查定义域、关键定理条件、边界与符号。"
"W10-02","yes","yes","yes","yes","独立复算 中值定理链证明估计：检查定义域、关键定理条件、边界与符号。"
"W10-03","yes","yes","yes","yes","独立复算 积分定义的辅助函数：检查定义域、关键定理条件、边界与符号。"
"W10-04","yes","yes","yes","yes","独立复算 缩放法处理参数积分：检查定义域、关键定理条件、边界与符号。"
"W11-01","yes","yes","yes","yes","独立复算 多方法选择的优先级：检查定义域、关键定理条件、边界与符号。"
"W11-02","yes","yes","yes","yes","独立复算 考场式综合检查：检查定义域、关键定理条件、边界与符号。"
