problem_id,chapter,kind,title,scope_ids,source_type,source_ref,answer_anchor,difficulty,minutes
"W02-01","函数、极限与连续","worked","三角函数高阶消去极限","S-HM-104;S-HM-105","original","ORIGINAL-2026","A-W02-01","中","8"
"W02-02","函数、极限与连续","worked","由有限极限反求参数","S-HM-105;S-HM-106","original","ORIGINAL-2026","A-W02-02","中","10"
"W02-03","函数、极限与连续","worked","递推数列单调有界法","S-HM-104;S-HM-106","original","ORIGINAL-2026","A-W02-03","中","12"
"W02-04","函数、极限与连续","worked","Stolz 处理加权和式","S-HM-104;S-HM-106","original","ORIGINAL-2026","A-W02-04","中高","10"
"W02-05","函数、极限与连续","worked","连续性与零点个数","S-HM-107;S-HM-109","original","ORIGINAL-2026","A-W02-05","中高","12"
"W03-01","一元微分、中值定理与应用","worked","Cauchy 中值定理比较增长率","S-HM-205;S-HM-207","original","ORIGINAL-2026","A-W03-01","中","10"
"W03-02","一元微分、中值定理与应用","worked","辅助函数证明不等式","S-HM-205;S-HM-207","original","ORIGINAL-2026","A-W03-02","中高","12"
"W03-03","一元微分、中值定理与应用","worked","参数方程的曲率","S-HM-203;S-HM-209","original","ORIGINAL-2026","A-W03-03","中高","12"
"W03-04","一元微分、中值定理与应用","worked","含参数函数的极值分类","S-HM-207;S-HM-208","original","ORIGINAL-2026","A-W03-04","高","15"
"W03-05","一元微分、中值定理与应用","worked","Taylor 余项估计","S-HM-205;S-HM-206","original","ORIGINAL-2026","A-W03-05","高","14"
"W03-06","一元微分、中值定理与应用","worked","全局最值的边界比较","S-HM-207;S-HM-208","original","ORIGINAL-2026","A-W03-06","中","10"
"W04-01","一元积分及其应用","worked","参数积分的换序入口","S-HM-303;S-HM-306","original","ORIGINAL-2026","A-W04-01","高","15"
"W04-02","一元积分及其应用","worked","含根式积分的三角换元","S-HM-304;S-HM-305","original","ORIGINAL-2026","A-W04-02","中","10"
"W04-03","一元积分及其应用","worked","广义积分的端点判别","S-HM-306","original","ORIGINAL-2026","A-W04-03","中","10"
"W04-04","一元积分及其应用","worked","积分不等式的平均值视角","S-HM-303;S-HM-307","original","ORIGINAL-2026","A-W04-04","中高","12"
"W04-05","一元积分及其应用","worked","交换积分次序","S-HM-307","original","ORIGINAL-2026","A-W04-05","高","15"
"W04-06","一元积分及其应用","worked","旋转体体积的两种切法","S-HM-307","original","ORIGINAL-2026","A-W04-06","中","10"
"W04-07","一元积分及其应用","worked","分部积分与递推","S-HM-304;S-HM-307","original","ORIGINAL-2026","A-W04-07","高","14"
"W05-01","向量与空间解析几何、常微分方程","worked","点到平面的距离与投影","S-HM-504;S-HM-505","original","ORIGINAL-2026","A-W05-01","中","10"
"W05-02","向量与空间解析几何、常微分方程","worked","两平面交线","S-HM-504;S-HM-505","original","ORIGINAL-2026","A-W05-02","中","10"
"W05-03","向量与空间解析几何、常微分方程","worked","一阶线性微分方程","S-HM-401;S-HM-402","original","ORIGINAL-2026","A-W05-03","中","10"
"W05-04","向量与空间解析几何、常微分方程","worked","二阶非齐次方程","S-HM-405;S-HM-406","original","ORIGINAL-2026","A-W05-04","高","15"
"W06-01","多元函数微分学","worked","切平面与法线","S-HM-603;S-HM-606","original","ORIGINAL-2026","A-W06-01","中","10"
"W06-02","多元函数微分学","worked","二元函数的驻点分类","S-HM-605;S-HM-608","original","ORIGINAL-2026","A-W06-02","中高","12"
"W06-03","多元函数微分学","worked","约束下的最值","S-HM-608","original","ORIGINAL-2026","A-W06-03","高","15"
"W06-04","多元函数微分学","worked","隐函数二阶导数","S-HM-604;S-HM-605","original","ORIGINAL-2026","A-W06-04","高","14"
"W07-01","重积分、曲线积分与曲面积分","worked","极坐标换元","S-HM-701","original","ORIGINAL-2026","A-W07-01","中","12"
"W07-02","重积分、曲线积分与曲面积分","worked","三重积分的柱坐标","S-HM-701;S-HM-706","original","ORIGINAL-2026","A-W07-02","中高","14"
"W07-03","重积分、曲线积分与曲面积分","worked","Green 公式计算环流","S-HM-702;S-HM-703","original","ORIGINAL-2026","A-W07-03","高","15"
"W07-04","重积分、曲线积分与曲面积分","worked","Gauss 公式求通量","S-HM-704;S-HM-705","original","ORIGINAL-2026","A-W07-04","高","15"
"W07-05","重积分、曲线积分与曲面积分","worked","路径无关与势函数","S-HM-702;S-HM-703","original","ORIGINAL-2026","A-W07-05","中高","12"
"W07-06","重积分、曲线积分与曲面积分","worked","Stokes 公式与方向","S-HM-704;S-HM-705","original","ORIGINAL-2026","A-W07-06","高","15"
"W08-01","无穷级数与 Fourier 级数","worked","比值判别与端点","S-HM-802;S-HM-805","original","ORIGINAL-2026","A-W08-01","中","12"
"W08-02","无穷级数与 Fourier 级数","worked","幂级数求和","S-HM-805;S-HM-806","original","ORIGINAL-2026","A-W08-02","中高","14"
"W08-03","无穷级数与 Fourier 级数","worked","Taylor 展开与余项","S-HM-806;S-HM-807","original","ORIGINAL-2026","A-W08-03","中","12"
"W08-04","无穷级数与 Fourier 级数","worked","半区间正弦展开","S-HM-808","original","ORIGINAL-2026","A-W08-04","高","15"
"W09-01","高等数学综合强化","worked","参数极限与积分表示","S-HM-106;S-HM-303","original","ORIGINAL-2026","A-W09-01","高","15"
"W09-02","高等数学综合强化","worked","微分约束下的积分不等式","S-HM-205;S-HM-307","original","ORIGINAL-2026","A-W09-02","高","15"
"W09-03","高等数学综合强化","worked","含参积分与函数性质","S-HM-303;S-HM-307","original","ORIGINAL-2026","A-W09-03","高","15"
"W09-04","高等数学综合强化","worked","微分方程与积分互化","S-HM-401;S-HM-408","original","ORIGINAL-2026","A-W09-04","高","16"
"W09-05","高等数学综合强化","worked","空间几何与多元微分联立","S-HM-505;S-HM-608","original","ORIGINAL-2026","A-W09-05","高","16"
"W09-06","高等数学综合强化","worked","多元最值的边界比较","S-HM-608","original","ORIGINAL-2026","A-W09-06","高","16"
"W09-07","高等数学综合强化","worked","重积分与场论综合","S-HM-701;S-HM-705","original","ORIGINAL-2026","A-W09-07","高","16"
"W09-08","高等数学综合强化","worked","幂级数与 Fourier 连接","S-HM-805;S-HM-808","original","ORIGINAL-2026","A-W09-08","高","16"
"W10-01","综合证明与竞赛构造","worked","辅助函数证明存在性","S-HM-205;S-HM-109","original","ORIGINAL-2026","A-W10-01","中高","12"
"W10-02","综合证明与竞赛构造","worked","中值定理链证明估计","S-HM-205","original","ORIGINAL-2026","A-W10-02","高","14"
"W10-03","综合证明与竞赛构造","worked","积分定义的辅助函数","S-HM-303","original","ORIGINAL-2026","A-W10-03","高","15"
"W10-04","综合证明与竞赛构造","worked","缩放法处理参数积分","S-HM-304;S-HM-307","original","ORIGINAL-2026","A-W10-04","中高","12"
"W11-01","高频模型、公式与易错点","worked","多方法选择的优先级","S-HM-106;S-HM-307","original","ORIGINAL-2026","A-W11-01","中高","10"
"W11-02","高频模型、公式与易错点","worked","考场式综合检查","S-HM-802;S-HM-805","original","ORIGINAL-2026","A-W11-02","高","12"
"Q10-01","综合证明与竞赛构造","quick","目标式反推导数","S-HM-205;S-HM-207","original","ORIGINAL-2026","A-Q10-01","短例","3"
"Q10-02","综合证明与竞赛构造","quick","反证构造零点","S-HM-109;S-HM-205","original","ORIGINAL-2026","A-Q10-02","短例","3"
"Q11-01","高频模型、公式与易错点","quick","三行复盘","S-HM-000","original","ORIGINAL-2026","A-Q11-01","短例","3"
"Q11-02","高频模型、公式与易错点","quick","时间分配","S-HM-000","original","ORIGINAL-2026","A-Q11-02","短例","3"
"Q02-01","第02章","quick","根式有理化","S-HM-105","original","ORIGINAL-2026","A-Q02-01","短例","3"
"Q02-02","第02章","quick","对数化","S-HM-105","original","ORIGINAL-2026","A-Q02-02","短例","3"
"Q02-03","第02章","quick","左右极限","S-HM-104;S-HM-107","original","ORIGINAL-2026","A-Q02-03","短例","3"
"Q02-04","第02章","quick","夹逼识别","S-HM-106","original","ORIGINAL-2026","A-Q02-04","短例","3"
"Q03-01","第03章","quick","Rolle 的零点数","S-HM-205","original","ORIGINAL-2026","A-Q03-01","短例","3"
"Q03-02","第03章","quick","凹凸性识别","S-HM-207","original","ORIGINAL-2026","A-Q03-02","短例","3"
"Q03-03","第03章","quick","反函数导数","S-HM-203","original","ORIGINAL-2026","A-Q03-03","短例","3"
"Q03-04","第03章","quick","渐近线","S-HM-207","original","ORIGINAL-2026","A-Q03-04","短例","3"
"Q04-01","第04章","quick","奇函数对称积分","S-HM-303","original","ORIGINAL-2026","A-Q04-01","短例","3"
"Q04-02","第04章","quick","Beta 型换元","S-HM-304","original","ORIGINAL-2026","A-Q04-02","短例","3"
"Q04-03","第04章","quick","积分平均值","S-HM-303","original","ORIGINAL-2026","A-Q04-03","短例","3"
"Q04-04","第04章","quick","瑕点拆分","S-HM-306","original","ORIGINAL-2026","A-Q04-04","短例","3"
"Q04-05","第04章","quick","对数积分","S-HM-304;S-HM-306","original","ORIGINAL-2026","A-Q04-05","短例","3"
"Q05-01","第05章","quick","向量夹角","S-HM-501;S-HM-502","original","ORIGINAL-2026","A-Q05-01","短例","3"
"Q05-02","第05章","quick","直线与平面位置","S-HM-504;S-HM-505","original","ORIGINAL-2026","A-Q05-02","短例","3"
"Q05-03","第05章","quick","可分离方程","S-HM-402","original","ORIGINAL-2026","A-Q05-03","短例","3"
"Q06-01","第06章","quick","方向导数","S-HM-605","original","ORIGINAL-2026","A-Q06-01","短例","3"
"Q06-02","第06章","quick","二元极限否定","S-HM-602","original","ORIGINAL-2026","A-Q06-02","短例","3"
"Q06-03","第06章","quick","边界参数化","S-HM-608","original","ORIGINAL-2026","A-Q06-03","短例","3"
"Q07-01","第07章","quick","极坐标面积","S-HM-701","original","ORIGINAL-2026","A-Q07-01","短例","3"
"Q07-02","第07章","quick","Jacobian 绝对值","S-HM-701","original","ORIGINAL-2026","A-Q07-02","短例","3"
"Q07-03","第07章","quick","通量方向","S-HM-705","original","ORIGINAL-2026","A-Q07-03","短例","3"
"Q07-04","第07章","quick","保守场快速判别","S-HM-703","original","ORIGINAL-2026","A-Q07-04","短例","3"
"Q08-01","第08章","quick","必要条件","S-HM-801","original","ORIGINAL-2026","A-Q08-01","短例","3"
"Q08-02","第08章","quick","绝对与条件收敛","S-HM-803","original","ORIGINAL-2026","A-Q08-02","短例","3"
"Q08-03","第08章","quick","逐项求导","S-HM-806","original","ORIGINAL-2026","A-Q08-03","短例","3"
"Q09-01","高等数学综合强化","quick","先查定义域","S-HM-103;S-HM-602","original","ORIGINAL-2026","A-Q09-01","短例","3"
"Q09-02","高等数学综合强化","quick","先画区域","S-HM-701","original","ORIGINAL-2026","A-Q09-02","短例","3"
"Q09-03","高等数学综合强化","quick","边界不等于驻点","S-HM-608","original","ORIGINAL-2026","A-Q09-03","短例","3"
"Q09-04","高等数学综合强化","quick","端点单独验算","S-HM-805","original","ORIGINAL-2026","A-Q09-04","短例","3"
"Q09-05","高等数学综合强化","quick","方向同步","S-HM-705","original","ORIGINAL-2026","A-Q09-05","短例","3"
"X10-01","综合证明与竞赛构造","exercise","闭区间最值证明","S-HM-109","original","ORIGINAL-2026","A-X10-01","训练","8"
"X10-02","综合证明与竞赛构造","exercise","对数不等式","S-HM-205","original","ORIGINAL-2026","A-X10-02","训练","8"
"X11-01","高频模型、公式与易错点","exercise","参数极限条件清单","S-HM-106","original","ORIGINAL-2026","A-X11-01","训练","8"
"X11-02","高频模型、公式与易错点","exercise","多元最值三栏表","S-HM-608","original","ORIGINAL-2026","A-X11-02","训练","8"
"X02-01","第02章","exercise","正切高阶极限","S-HM-105","original","ORIGINAL-2026","A-X02-01","训练","8"
"X02-02","第02章","exercise","递推不动点","S-HM-106","original","ORIGINAL-2026","A-X02-02","训练","8"
"X02-03","第02章","exercise","绝对值间断","S-HM-107","original","ORIGINAL-2026","A-X02-03","训练","8"
"X02-04","第02章","exercise","零点唯一性","S-HM-109","original","ORIGINAL-2026","A-X02-04","训练","8"
"X03-01","第03章","exercise","正弦不等式","S-HM-205","original","ORIGINAL-2026","A-X03-01","训练","8"
"X03-02","第03章","exercise","参数四次函数","S-HM-207;S-HM-208","original","ORIGINAL-2026","A-X03-02","训练","8"
"X03-03","第03章","exercise","摆线切线","S-HM-203","original","ORIGINAL-2026","A-X03-03","训练","8"
"X03-04","第03章","exercise","闭区间最值","S-HM-208","original","ORIGINAL-2026","A-X03-04","训练","8"
"X04-01","第04章","exercise","对数积分","S-HM-304","original","ORIGINAL-2026","A-X04-01","训练","8"
"X04-02","第04章","exercise","瑕点收敛比较","S-HM-306","original","ORIGINAL-2026","A-X04-02","训练","8"
"X04-03","第04章","exercise","交换次序","S-HM-307","original","ORIGINAL-2026","A-X04-03","训练","8"
"X04-04","第04章","exercise","分部积分","S-HM-304","original","ORIGINAL-2026","A-X04-04","训练","8"
"X04-05","第04章","exercise","旋转体体积","S-HM-307","original","ORIGINAL-2026","A-X04-05","训练","8"
"X05-01","第05章","exercise","点面距离","S-HM-505","original","ORIGINAL-2026","A-X05-01","训练","8"
"X05-02","第05章","exercise","一阶线性方程","S-HM-402","original","ORIGINAL-2026","A-X05-02","训练","8"
"X05-03","第05章","exercise","共振方程","S-HM-406","original","ORIGINAL-2026","A-X05-03","训练","8"
"X06-01","第06章","exercise","全微分","S-HM-603","original","ORIGINAL-2026","A-X06-01","训练","8"
"X06-02","第06章","exercise","驻点分类","S-HM-608","original","ORIGINAL-2026","A-X06-02","训练","8"
"X06-03","第06章","exercise","线性约束最值","S-HM-608","original","ORIGINAL-2026","A-X06-03","训练","8"
"X07-01","第07章","exercise","圆盘二重积分","S-HM-701","original","ORIGINAL-2026","A-X07-01","训练","8"
"X07-02","第07章","exercise","椭圆环流","S-HM-703","original","ORIGINAL-2026","A-X07-02","训练","8"
"X07-03","第07章","exercise","闭曲面通量","S-HM-705","original","ORIGINAL-2026","A-X07-03","训练","8"
"X07-04","第07章","exercise","势函数积分","S-HM-703","original","ORIGINAL-2026","A-X07-04","训练","8"
"X08-01","第08章","exercise","对数判别","S-HM-802","original","ORIGINAL-2026","A-X08-01","训练","8"
"X08-02","第08章","exercise","反正切级数","S-HM-805;S-HM-807","original","ORIGINAL-2026","A-X08-02","训练","8"
"X08-03","第08章","exercise","常数余弦展开","S-HM-808","original","ORIGINAL-2026","A-X08-03","训练","8"
"X09-01","高等数学综合强化","exercise","含参积分极限","S-HM-303","original","ORIGINAL-2026","A-X09-01","训练","8"
"X09-02","高等数学综合强化","exercise","积分方程","S-HM-401","original","ORIGINAL-2026","A-X09-02","训练","8"
"X09-03","高等数学综合强化","exercise","圆弧边界最值","S-HM-608","original","ORIGINAL-2026","A-X09-03","训练","8"
"X09-04","高等数学综合强化","exercise","端点判别","S-HM-805","original","ORIGINAL-2026","A-X09-04","训练","8"
"X09-05","高等数学综合强化","exercise","带方向场论","S-HM-705","original","ORIGINAL-2026","A-X09-05","训练","8"
"M01-01","模拟题一","mock","极限与高阶展开","S-HM-105;S-HM-206","original","ORIGINAL-2026","A-M01-01","模拟","25"
"M01-02","模拟题一","mock","积分换元","S-HM-304","original","ORIGINAL-2026","A-M01-02","模拟","25"
"M01-03","模拟题一","mock","一阶线性方程","S-HM-402","original","ORIGINAL-2026","A-M01-03","模拟","25"
"M01-04","模拟题一","mock","二重积分","S-HM-701","original","ORIGINAL-2026","A-M01-04","模拟","25"
"M01-05","模拟题一","mock","幂级数收敛域","S-HM-805","original","ORIGINAL-2026","A-M01-05","模拟","25"
"M01-06","模拟题一","mock","微分约束积分不等式","S-HM-205;S-HM-307","original","ORIGINAL-2026","A-M01-06","模拟","25"
"M02-01","模拟题二","mock","参数方程根的个数","S-HM-207;S-HM-208","original","ORIGINAL-2026","A-M02-01","模拟","25"
"M02-02","模拟题二","mock","交换积分次序","S-HM-307","original","ORIGINAL-2026","A-M02-02","模拟","25"
"M02-03","模拟题二","mock","点面距离","S-HM-505","original","ORIGINAL-2026","A-M02-03","模拟","25"
"M02-04","模拟题二","mock","线性约束最值","S-HM-608","original","ORIGINAL-2026","A-M02-04","模拟","25"
"M02-05","模拟题二","mock","球面通量","S-HM-705","original","ORIGINAL-2026","A-M02-05","模拟","25"
"M02-06","模拟题二","mock","Fourier 正弦级数","S-HM-808","original","ORIGINAL-2026","A-M02-06","模拟","25"
